division,region,heatdd,cooldd,tempjan,tempjuly,agecat
E.N.C.,N Cntrl,5587.0,762.0,28.1,72.9,30-34
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,30-34
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,30-34
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4819.0,1583.0,28.4,80.1,35+
W.N.C.,N Cntrl,4812.0,1681.0,28.4,80.9,35+
W.N.C.,N Cntrl,4938.0,1468.0,28.8,78.9,35+
W.N.C.,N Cntrl,4938.0,1468.0,28.8,78.9,35+
W.N.C.,N Cntrl,4938.0,1468.0,28.8,78.9,35+
E.N.C.,N Cntrl,4938.0,1468.0,28.8,78.9,35+
W.N.C.,N Cntrl,4949.0,1412.0,28.8,78.4,35+
W.N.C.,N Cntrl,4938.0,1468.0,28.8,78.9,35+
W.N.C.,N Cntrl,4897.0,1330.0,29.5,78.0,35+
W.N.C.,N Cntrl,4792.0,1690.0,29.5,81.2,35+
W.N.C.,N Cntrl,4787.0,1684.0,29.6,81.4,35+
E.N.C.,N Cntrl,4818.0,1320.0,29.8,77.7,35+
E.N.C.,N Cntrl,4818.0,1320.0,29.8,77.7,35+
E.N.C.,N Cntrl,5052.0,1059.0,29.9,75.4,35+
E.N.C.,N Cntrl,5052.0,1059.0,29.9,75.4,35+
E.N.C.,N Cntrl,5052.0,1059.0,29.9,75.4,35+
E.N.C.,N Cntrl,4950.0,1159.0,30.3,76.1,35+
E.N.C.,N Cntrl,4950.0,1159.0,30.3,76.1,35+
E.N.C.,N Cntrl,4729.0,1378.0,30.6,78.1,35+
W.N.C.,N Cntrl,4660.0,1374.0,31.5,78.0,35+
E.N.C.,N Cntrl,4563.0,1395.0,31.7,78.1,35+
E.N.C.,N Cntrl,4702.0,1137.0,32.0,75.9,35+
W.N.C.,N Cntrl,4466.0,1330.0,32.2,78.0,35+
E.N.C.,N Cntrl,4525.0,1342.0,32.5,77.6,35+
W.N.C.,N Cntrl,4321.0,1628.0,32.6,80.1,35+
E.S.C.,South,5247.0,1037.0,28.9,75.4,19-29
S. Atl.,South,5450.0,840.0,29.1,73.6,19-29
S. Atl.,South,5415.0,759.0,29.5,73.6,19-29
S. Atl.,South,5348.0,826.0,29.7,73.1,19-29
S. Atl.,South,5107.0,964.0,30.4,74.4,19-29
S. Atl.,South,5086.0,935.0,30.6,74.9,19-29
S. Atl.,South,5507.0,585.0,30.9,71.0,19-29
S. Atl.,South,5106.0,902.0,30.9,74.4,19-29
E.S.C.,South,5001.0,1067.0,30.9,75.6,19-29
S. Atl.,South,4986.0,1015.0,31.2,76.0,19-29
E.S.C.,South,4814.0,1170.0,31.5,76.0,19-29
S. Atl.,South,4906.0,1003.0,31.7,75.7,19-29
E.S.C.,South,4900.0,1071.0,32.0,74.9,19-29
W.S.C.,South,4279.0,1886.0,32.4,82.5,19-29
E.S.C.,South,4525.0,1342.0,32.5,77.6,19-29
S. Atl.,South,4676.0,1121.0,32.8,75.4,19-29
S. Atl.,South,4697.0,1007.0,32.9,74.5,19-29
S. Atl.,South,4649.0,1008.0,33.2,75.6,19-29
E.S.C.,South,4361.0,1451.0,33.2,78.1,19-29
E.S.C.,South,4279.0,1460.0,33.2,78.3,19-29
S. Atl.,South,4663.0,1063.0,33.3,75.7,19-29
S. Atl.,South,4663.0,1063.0,33.3,75.7,19-29
E.S.C.,South,4309.0,1429.0,33.9,78.2,19-29
E.S.C.,South,4130.0,1573.0,34.3,79.3,19-29
W.S.C.,South,3842.0,1886.0,34.6,82.0,19-29
W.S.C.,South,4174.0,1366.0,34.8,78.3,19-29
S. Atl.,South,4323.0,1074.0,35.1,75.7,19-29
W.S.C.,South,3731.0,2043.0,35.2,83.2,19-29
W.S.C.,South,3731.0,2043.0,35.2,83.2,19-29
S. Atl.,South,4122.0,1430.0,35.2,78.9,19-29
S. Atl.,South,4189.0,1220.0,35.3,76.8,19-29
W.S.C.,South,3793.0,1920.0,35.3,82.1,19-29
W.S.C.,South,3764.0,2075.0,35.4,83.5,19-29
W.S.C.,South,4231.0,1428.0,35.4,78.8,19-29
S. Atl.,South,4083.0,1545.0,35.5,79.9,19-29
S. Atl.,South,4315.0,1085.0,35.5,75.7,19-29
S. Atl.,South,4083.0,1545.0,35.5,79.9,19-29
E.S.C.,South,4014.0,1514.0,35.7,78.7,19-29
W.S.C.,South,3735.0,1914.0,35.9,82.1,19-29
W.S.C.,South,3735.0,1914.0,35.9,82.1,19-29
W.S.C.,South,3735.0,1914.0,35.9,82.1,19-29
W.S.C.,South,3735.0,1914.0,35.9,82.1,19-29
W.S.C.,South,3735.0,1914.0,35.9,82.1,19-29
S. Atl.,South,3960.0,1336.0,36.6,77.8,19-29
E.S.C.,South,4006.0,1294.0,36.7,76.6,19-29
S. Atl.,South,4294.0,842.0,36.8,73.2,19-29
E.S.C.,South,3920.0,1164.0,37.0,75.7,19-29
E.S.C.,South,3920.0,1164.0,37.0,75.7,19-29
E.S.C.,South,3756.0,1661.0,37.1,79.4,19-29
E.S.C.,South,3756.0,1661.0,37.1,79.4,19-29
W.S.C.,South,3735.0,1914.0,37.4,81.7,19-29
W.S.C.,South,3735.0,1914.0,37.4,81.7,19-29
W.S.C.,South,3477.0,1969.0,37.5,82.1,19-29
S. Atl.,South,3874.0,1303.0,37.5,77.2,19-29
E.S.C.,South,3761.0,1497.0,37.6,78.2,19-29
W.S.C.,South,3521.0,1946.0,37.6,81.5,19-29
S. Atl.,South,3856.0,1384.0,37.6,77.8,19-29
W.S.C.,South,3409.0,2038.0,37.7,82.6,19-29
E.S.C.,South,3734.0,1573.0,37.7,78.6,19-29
E.S.C.,South,3540.0,1802.0,37.8,80.4,19-29
E.S.C.,South,3658.0,1449.0,38.2,77.6,19-29
S. Atl.,South,3724.0,1310.0,38.7,77.2,19-29
E.S.C.,South,3583.0,1578.0,38.7,78.7,19-29
E.S.C.,South,3583.0,1578.0,38.7,78.7,19-29
W.S.C.,South,3516.0,1676.0,38.8,79.8,19-29
W.S.C.,South,3237.0,2216.0,38.8,83.7,19-29
S. Atl.,South,3608.0,1377.0,38.9,77.9,19-29
S. Atl.,South,3608.0,1377.0,38.9,77.9,19-29
S. Atl.,South,3608.0,1377.0,38.9,77.9,19-29
S. Atl.,South,3537.0,1479.0,39.2,78.3,19-29
W.S.C.,South,3163.0,1999.0,39.5,81.7,19-29
S. Atl.,South,3612.0,1387.0,39.5,77.7,19-29
W.S.C.,South,3163.0,1999.0,39.5,81.7,19-29
E.S.C.,South,3207.0,2067.0,39.6,82.1,19-29
S. Atl.,South,3531.0,1394.0,39.6,77.7,19-29
W.S.C.,South,3207.0,2067.0,39.6,82.1,19-29
S. Atl.,South,3371.0,1571.0,39.7,79.0,19-29
S. Atl.,South,3422.0,1387.0,39.8,77.6,19-29
E.S.C.,South,3315.0,1788.0,39.8,79.9,19-29
S. Atl.,South,3422.0,1387.0,39.8,77.6,19-29
S. Atl.,South,3446.0,1458.0,39.9,78.4,19-29
S. Atl.,South,3446.0,1458.0,39.9,78.4,19-29
S. Atl.,South,3446.0,1458.0,39.9,78.4,19-29
W.S.C.,South,3152.0,2045.0,39.9,82.1,19-29
E.S.C.,South,3279.0,1708.0,40.2,79.3,19-29
E.S.C.,South,3279.0,1708.0,40.2,79.3,19-29
W.S.C.,South,3011.0,2506.0,40.3,85.6,19-29
S. Atl.,South,3297.0,1676.0,40.4,79.7,19-29
S. Atl.,South,3342.0,1546.0,40.5,78.5,19-29
W.S.C.,South,2935.0,2296.0,40.6,83.5,19-29
W.S.C.,South,2934.0,2331.0,40.7,83.9,19-29
E.S.C.,South,3160.0,1671.0,41.0,79.1,19-29
S. Atl.,South,3239.0,1501.0,41.1,78.2,19-29
S. Atl.,South,3239.0,1501.0,41.1,78.2,19-29
S. Atl.,South,3233.0,1615.0,41.3,78.9,19-29
S. Atl.,South,3233.0,1615.0,41.3,78.9,19-29
S. Atl.,South,3233.0,1615.0,41.3,78.9,19-29
S. Atl.,South,3155.0,1657.0,41.4,79.3,19-29
W.S.C.,South,2932.0,2147.0,41.4,82.2,19-29
S. Atl.,South,3102.0,1704.0,41.5,79.7,19-29
S. Atl.,South,3158.0,1589.0,41.7,78.7,19-29
S. Atl.,South,3122.0,1601.0,41.7,78.3,19-29
S. Atl.,South,3124.0,1611.0,41.8,78.7,19-29
S. Atl.,South,3021.0,1670.0,41.9,78.6,19-29
S. Atl.,South,3021.0,1670.0,41.9,78.6,19-29
S. Atl.,South,3021.0,1670.0,41.9,78.6,19-29
S. Atl.,South,3110.0,1533.0,41.9,78.4,19-29
S. Atl.,South,3021.0,1774.0,42.2,79.8,19-29
E.S.C.,South,2943.0,1891.0,42.4,80.3,19-29
S. Atl.,South,2965.0,1680.0,42.4,79.2,19-29
E.S.C.,South,2860.0,2003.0,42.4,80.9,19-29
E.S.C.,South,2943.0,1891.0,42.4,80.3,19-29
W.S.C.,South,2729.0,2272.0,42.9,82.7,19-29
E.S.C.,South,2635.0,2246.0,43.0,82.2,19-29
E.S.C.,South,2872.0,1809.0,43.0,79.8,19-29
W.S.C.,South,2755.0,2109.0,43.1,81.8,19-29
W.S.C.,South,2621.0,2467.0,43.3,84.1,19-29
W.S.C.,South,2658.0,2126.0,43.7,81.7,19-29
W.S.C.,South,2658.0,2126.0,43.7,81.7,19-29
E.S.C.,South,2675.0,2102.0,43.8,81.3,19-29
W.S.C.,South,2460.0,2540.0,43.9,84.5,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2407.0,2809.0,44.0,86.3,19-29
W.S.C.,South,2542.0,2335.0,44.1,82.8,19-29
W.S.C.,South,2501.0,2314.0,44.1,82.9,19-29
W.S.C.,South,2664.0,2096.0,44.2,82.5,19-29
E.S.C.,South,2611.0,1921.0,44.6,79.6,19-29
S. Atl.,South,2629.0,2033.0,44.7,81.0,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,19-29
S. Atl.,South,2568.0,1935.0,45.0,80.6,19-29
S. Atl.,South,2561.0,1998.0,45.0,80.6,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,19-29
W.S.C.,South,2301.0,2846.0,45.0,86.3,30-34
W.S.C.,South,2301.0,2846.0,45.0,86.3,30-34
W.S.C.,South,2301.0,2846.0,45.0,86.3,30-34
W.S.C.,South,2404.0,2340.0,45.3,82.4,30-34
W.S.C.,South,2313.0,2596.0,45.5,84.3,30-34
E.S.C.,South,2479.0,2158.0,45.5,81.3,30-34
S. Atl.,South,2469.0,1904.0,45.6,80.3,30-34
E.S.C.,South,2389.0,2290.0,45.7,81.9,30-34
W.S.C.,South,2326.0,2308.0,45.8,82.4,30-34
W.S.C.,South,2269.0,2444.0,46.0,82.9,30-34
W.S.C.,South,2269.0,2444.0,46.0,82.9,30-34
W.S.C.,South,2126.0,2891.0,46.2,85.9,30-34
E.S.C.,South,2356.0,2152.0,46.2,81.0,30-34
S. Atl.,South,2356.0,2152.0,46.2,81.0,30-34
S. Atl.,South,2279.0,2217.0,46.6,81.4,30-34
S. Atl.,South,2279.0,2217.0,46.6,81.4,30-34
W.S.C.,South,2125.0,2740.0,46.6,84.6,30-34
W.S.C.,South,2125.0,2740.0,46.6,84.6,30-34
E.S.C.,South,2277.0,2274.0,46.7,81.7,30-34
E.S.C.,South,2201.0,2306.0,46.7,81.7,30-34
E.S.C.,South,2040.0,2433.0,48.1,82.1,30-34
W.S.C.,South,1961.0,2521.0,48.4,82.5,30-34
E.S.C.,South,2027.0,2338.0,48.4,81.4,30-34
W.S.C.,South,1930.0,2651.0,48.6,83.3,30-34
W.S.C.,South,1930.0,2651.0,48.6,83.3,30-34
S. Atl.,South,2062.0,2396.0,48.7,81.4,30-34
W.S.C.,South,1760.0,2914.0,49.1,84.7,30-34
W.S.C.,South,1786.0,2806.0,49.2,84.2,30-34
S. Atl.,South,1868.0,2304.0,49.2,81.6,30-34
E.S.C.,South,1928.0,2293.0,49.2,80.4,30-34
S. Atl.,South,1921.0,2290.0,49.2,81.2,30-34
S. Atl.,South,1868.0,2304.0,49.2,81.6,30-34
W.S.C.,South,1786.0,2806.0,49.2,84.2,30-34
W.S.C.,South,1606.0,2983.0,50.4,84.6,30-34
E.S.C.,South,1695.0,2643.0,50.8,82.2,30-34
E.S.C.,South,1695.0,2643.0,50.8,82.2,30-34
W.S.C.,South,1510.0,3272.0,50.8,86.0,30-34
W.S.C.,South,1673.0,2605.0,50.8,82.1,30-34
S. Atl.,South,1672.0,2430.0,51.3,80.9,30-34
W.S.C.,South,1549.0,2761.0,51.4,83.1,30-34
W.S.C.,South,1549.0,2761.0,51.4,83.1,30-34
W.S.C.,South,1549.0,2761.0,51.4,83.1,30-34
W.S.C.,South,1579.0,2682.0,51.5,82.3,30-34
E.S.C.,South,1539.0,2631.0,51.6,82.2,30-34
S. Atl.,South,1652.0,2492.0,51.6,81.2,30-34
W.S.C.,South,1560.0,2675.0,51.7,82.1,30-34
S. Atl.,South,1571.0,2680.0,51.7,82.3,30-34
S. Atl.,South,1571.0,2680.0,51.7,82.3,30-34
W.S.C.,South,1555.0,2649.0,51.9,81.8,30-34
W.S.C.,South,1477.0,2861.0,51.9,83.1,30-34
W.S.C.,South,1477.0,2861.0,51.9,83.1,30-34
E.S.C.,South,1498.0,2652.0,52.0,82.3,30-34
E.S.C.,South,1498.0,2652.0,52.0,82.3,30-34
W.S.C.,South,1490.0,2686.0,52.4,82.1,30-34
W.S.C.,South,1490.0,2686.0,52.4,82.1,30-34
W.S.C.,South,1490.0,2686.0,52.4,82.1,30-34
S. Atl.,South,1402.0,2520.0,53.2,81.3,30-34
W.S.C.,South,1273.0,3184.0,53.4,84.5,30-34
W.S.C.,South,1253.0,2967.0,53.6,83.2,30-34
W.S.C.,South,1253.0,2967.0,53.6,83.2,30-34
W.S.C.,South,1315.0,2755.0,54.2,81.7,30-34
W.S.C.,South,926.0,4043.0,56.2,87.4,30-34
W.S.C.,South,970.0,3574.0,56.3,84.9,30-34
S. Atl.,South,1069.0,2856.0,56.4,81.4,30-34
W.S.C.,South,867.0,3608.0,57.5,84.8,30-34
S. Atl.,South,900.0,2878.0,57.9,81.1,30-34
S. Atl.,South,881.0,3134.0,58.3,81.8,30-34
W.S.C.,South,786.0,3770.0,58.7,84.2,30-34
W.S.C.,South,755.0,3833.0,58.8,84.4,35+
S. Atl.,South,739.0,3324.0,59.8,82.2,35+
S. Atl.,South,739.0,3324.0,59.8,82.2,35+
S. Atl.,South,739.0,3324.0,59.8,82.2,35+
S. Atl.,South,739.0,3324.0,59.8,82.2,35+
S. Atl.,South,712.0,3184.0,60.2,81.5,35+
W.S.C.,South,609.0,3772.0,60.3,84.1,35+
S. Atl.,South,656.0,3401.0,60.5,82.4,35+
S. Atl.,South,616.0,3162.0,60.9,81.2,35+
S. Atl.,South,616.0,3162.0,60.9,81.2,35+
S. Atl.,South,618.0,3461.0,61.0,82.4,35+
S. Atl.,South,607.0,3225.0,61.5,81.3,35+
S. Atl.,South,545.0,3686.0,61.9,83.1,35+
S. Atl.,South,545.0,3686.0,61.9,83.1,35+
S. Atl.,South,500.0,3352.0,62.7,81.0,35+
S. Atl.,South,441.0,3699.0,63.4,82.6,35+
S. Atl.,South,441.0,3699.0,63.4,82.6,35+
S. Atl.,South,262.0,3769.0,65.2,82.0,35+
S. Atl.,South,262.0,3769.0,65.2,82.0,35+
S. Atl.,South,284.0,3815.0,65.7,81.7,35+
S. Atl.,South,284.0,3815.0,65.7,81.7,35+
S. Atl.,South,284.0,3815.0,65.7,81.7,35+
S. Atl.,South,284.0,3815.0,65.7,81.7,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,254.0,3933.0,66.2,82.3,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,243.0,3957.0,66.8,82.1,35+
S. Atl.,South,199.0,4095.0,67.1,82.4,35+
S. Atl.,South,199.0,4095.0,67.1,82.4,35+
S. Atl.,South,133.0,4150.0,68.0,82.6,35+
S. Atl.,South,133.0,4150.0,68.0,82.6,35+
Pacific,West,10816.0,0.0,13.0,58.1,19-29
Mountain,West,9613.0,107.0,15.5,63.0,19-29
Mountain,West,7995.0,288.0,18.7,68.9,19-29
Mountain,West,7766.0,391.0,18.7,69.3,19-29
Mountain,West,7212.0,553.0,20.9,72.3,19-29
Mountain,West,7839.0,216.0,21.3,67.2,19-29
Mountain,West,7642.0,457.0,22.2,70.9,19-29
Mountain,West,7123.0,445.0,23.8,71.2,19-29
Mountain,West,6751.0,593.0,24.7,73.0,19-29
Mountain,West,6442.0,647.0,25.0,73.6,19-29
Mountain,West,5683.0,1205.0,25.5,78.9,19-29
Pacific,West,6882.0,411.0,25.7,69.7,19-29
Mountain,West,7310.0,309.0,26.1,68.9,19-29
Mountain,West,6432.0,555.0,26.5,72.2,19-29
Mountain,West,6483.0,471.0,26.9,71.4,19-29
Mountain,West,6483.0,471.0,26.9,71.4,19-29
Mountain,West,6234.0,658.0,27.6,73.6,19-29
Mountain,West,7254.0,127.0,28.2,66.1,19-29
Pacific,West,6031.0,484.0,28.2,70.4,19-29
Mountain,West,5732.0,738.0,28.5,74.7,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5866.0,955.0,28.6,77.0,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,5802.0,981.0,28.6,77.5,19-29
Mountain,West,6346.0,501.0,28.8,71.2,19-29
Mountain,West,6387.0,297.0,29.2,68.3,19-29
Mountain,West,6014.0,680.0,29.5,73.3,19-29
Mountain,West,6014.0,680.0,29.5,73.3,19-29
Mountain,West,6014.0,680.0,29.5,73.3,19-29
Mountain,West,6014.0,680.0,29.5,73.3,19-29
Mountain,West,6014.0,680.0,29.5,73.3,19-29
Mountain,West,5465.0,1042.0,29.8,76.9,19-29
Mountain,West,5802.0,742.0,29.9,74.6,19-29
Mountain,West,5802.0,742.0,29.9,74.6,19-29
Mountain,West,5883.0,639.0,30.9,72.6,19-29
Mountain,West,5883.0,639.0,30.9,72.6,19-29
Mountain,West,5883.0,639.0,30.9,72.6,19-29
Mountain,West,5883.0,639.0,30.9,72.6,19-29
Mountain,West,5883.0,639.0,30.9,72.6,19-29
Mountain,West,5436.0,734.0,32.1,74.1,19-29
Mountain,West,6030.0,357.0,32.2,69.5,19-29
Mountain,West,6030.0,357.0,32.2,69.5,19-29
Mountain,West,5460.0,790.0,32.6,74.0,19-29
Pacific,West,4845.0,824.0,33.1,75.0,19-29
Pacific,West,5049.0,843.0,33.3,75.1,19-29
Mountain,West,5766.0,373.0,33.5,69.7,19-29
Pacific,West,4700.0,940.0,33.5,75.7,19-29
Mountain,West,4414.0,1254.0,34.8,78.8,19-29
Pacific,West,5724.0,62.0,36.6,62.1,19-29
Mountain,West,4076.0,1194.0,37.0,77.2,19-29
Pacific,West,5709.0,94.0,37.2,63.0,19-29
Pacific,West,4798.0,645.0,37.6,72.5,19-29
Pacific,West,5026.0,269.0,38.2,65.7,19-29
Pacific,West,5352.0,76.0,38.4,62.9,19-29
Pacific,West,5193.0,133.0,38.4,64.1,19-29
Pacific,West,5059.0,139.0,38.8,64.1,19-29
Pacific,West,4691.0,332.0,38.9,67.7,19-29
Pacific,West,4691.0,332.0,38.9,67.7,19-29
Pacific,West,4691.0,332.0,38.9,67.7,19-29
Pacific,West,4691.0,332.0,38.9,67.7,19-29
Pacific,West,5073.0,146.0,38.9,65.0,19-29
Pacific,West,4987.0,202.0,39.0,65.6,19-29
Pacific,West,4987.0,202.0,39.0,65.6,19-29
Pacific,West,5121.0,184.0,39.1,64.8,19-29
Pacific,West,4974.0,238.0,39.3,66.3,19-29
Pacific,West,4799.0,261.0,40.1,66.8,19-29
Pacific,West,4799.0,261.0,40.1,66.8,19-29
Pacific,West,4796.0,158.0,40.3,65.0,19-29
Pacific,West,4681.0,200.0,40.6,65.3,19-29
Pacific,West,4681.0,200.0,40.6,65.3,19-29
Pacific,West,4681.0,200.0,40.6,65.3,19-29
Mountain,West,3126.0,1863.0,41.4,81.4,19-29
Mountain,West,3059.0,1756.0,42.5,80.3,19-29
Mountain,West,2881.0,1838.0,42.9,80.1,19-29
Mountain,West,2833.0,2155.0,43.2,82.5,19-29
Mountain,West,2532.0,3029.0,44.6,90.3,19-29
Mountain,West,2532.0,3029.0,44.6,90.3,19-29
Pacific,West,2878.0,1414.0,44.8,78.1,19-29
Pacific,West,2709.0,1321.0,45.1,76.6,19-29
Pacific,West,2843.0,1059.0,45.1,74.3,19-29
Pacific,West,2674.0,1448.0,45.2,78.0,19-29
Pacific,West,2788.0,1174.0,45.2,75.6,19-29
Pacific,West,2674.0,1448.0,45.2,78.0,19-29
Pacific,West,2674.0,1448.0,45.2,78.0,19-29
Pacific,West,2861.0,1001.0,45.4,73.9,19-29
Pacific,West,2908.0,1760.0,45.4,81.4,19-29
Pacific,West,2647.0,1769.0,45.5,81.0,19-29
Pacific,West,2647.0,1769.0,45.5,81.0,19-29
Pacific,West,2653.0,1465.0,45.6,78.7,19-29
Pacific,West,2671.0,1287.0,45.7,76.8,19-29
Pacific,West,2671.0,1287.0,45.7,76.8,19-29
Pacific,West,3011.0,734.0,45.9,71.3,19-29
Pacific,West,3011.0,734.0,45.9,71.3,19-29
Pacific,West,3011.0,734.0,45.9,71.3,19-29
Pacific,West,3011.0,734.0,45.9,71.3,19-29
Pacific,West,2460.0,1804.0,46.0,80.9,19-29
Pacific,West,2686.0,821.0,46.3,71.7,19-29
Pacific,West,2544.0,2139.0,46.5,83.5,19-29
Pacific,West,2980.0,382.0,46.7,67.4,19-29
Pacific,West,2960.0,316.0,47.1,67.0,19-29
Pacific,West,2960.0,316.0,47.1,67.0,19-29
Pacific,West,2398.0,1379.0,47.1,76.6,19-29
Pacific,West,2960.0,316.0,47.1,67.0,19-29
Pacific,West,2749.0,416.0,47.6,67.7,19-29
Pacific,West,2891.0,275.0,47.8,66.3,19-29
Pacific,West,2891.0,275.0,47.8,66.3,19-29
Pacific,West,2891.0,275.0,47.8,66.3,19-29
Pacific,West,2891.0,275.0,47.8,66.3,19-29
Pacific,West,2740.0,591.0,48.1,69.8,19-29
Pacific,West,2128.0,2347.0,48.2,84.5,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,3161.0,115.0,48.5,62.2,19-29
Pacific,West,2600.0,432.0,48.7,68.4,19-29
Pacific,West,2600.0,432.0,48.7,68.4,19-29
Pacific,West,2600.0,432.0,48.7,68.4,19-29
Pacific,West,2600.0,432.0,48.7,68.4,19-29
Pacific,West,2600.0,432.0,48.7,68.4,19-29
Pacific,West,2877.0,174.0,49.0,63.7,19-29
Pacific,West,2877.0,174.0,49.0,63.7,19-29
Pacific,West,2877.0,174.0,49.0,63.7,19-29
Pacific,West,3136.0,95.0,49.0,62.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2439.0,483.0,49.5,67.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2439.0,498.0,49.5,68.8,19-29
Pacific,West,2951.0,91.0,49.7,61.7,19-29
Pacific,West,2687.0,162.0,49.7,62.4,19-29
Pacific,West,2951.0,91.0,49.7,61.7,19-29
Pacific,West,2951.0,91.0,49.7,61.7,19-29
Pacific,West,2951.0,91.0,49.7,61.7,19-29
Pacific,West,3054.0,76.0,50.8,62.3,19-29
Mountain,West,1654.0,3160.0,50.9,89.7,19-29
Mountain,West,1598.0,3296.0,51.1,90.0,19-29
Mountain,West,1598.0,3296.0,51.1,90.0,19-29
Mountain,West,1734.0,2840.0,51.1,86.2,19-29
Mountain,West,1598.0,3296.0,51.1,90.0,19-29
Pacific,West,3170.0,48.0,51.4,59.5,19-29
Pacific,West,3170.0,48.0,51.4,59.5,19-29
Pacific,West,3170.0,48.0,51.4,59.5,19-29
Pacific,West,2890.0,87.0,51.9,61.5,19-29
Pacific,West,1992.0,1571.0,51.9,78.2,19-29
Pacific,West,2175.0,1223.0,52.0,75.0,19-29
Pacific,West,2175.0,1223.0,52.0,75.0,19-29
Pacific,West,2498.0,285.0,52.1,64.8,19-29
Pacific,West,2048.0,1134.0,52.2,74.4,19-29
Pacific,West,2048.0,1134.0,52.2,74.4,19-29
Pacific,West,2048.0,1134.0,52.2,74.4,19-29
Pacific,West,2048.0,1134.0,52.2,74.4,19-29
Pacific,West,2006.0,980.0,52.2,73.3,19-29
Pacific,West,2006.0,980.0,52.2,73.3,30-34
Pacific,West,2048.0,1134.0,52.2,74.4,30-34
Pacific,West,2006.0,980.0,52.2,73.3,30-34
Pacific,West,2006.0,980.0,52.2,73.3,30-34
Mountain,West,1442.0,3746.0,52.3,92.3,30-34
Mountain,West,1442.0,3746.0,52.3,92.3,30-34
Pacific,West,1972.0,1191.0,52.4,74.6,30-34
Pacific,West,1972.0,1191.0,52.4,74.6,30-34
Pacific,West,1972.0,1191.0,52.4,74.6,30-34
Pacific,West,1818.0,1471.0,52.8,77.2,30-34
Pacific,West,1777.0,1718.0,52.9,79.3,30-34
Pacific,West,1795.0,1225.0,53.2,75.2,30-34
Pacific,West,2221.0,375.0,53.2,66.7,30-34
Pacific,West,2074.0,385.0,53.4,66.9,30-34
Pacific,West,1854.0,813.0,53.6,70.9,30-34
Pacific,West,1679.0,1292.0,53.8,75.1,30-34
Pacific,West,1993.0,393.0,54.0,66.6,30-34
Pacific,West,1954.0,371.0,54.2,66.7,30-34
Pacific,West,1954.0,371.0,54.2,66.7,30-34
Pacific,West,1954.0,371.0,54.2,66.7,30-34
Pacific,West,2068.0,357.0,54.6,65.7,30-34
Pacific,West,2068.0,357.0,54.6,65.7,30-34
